round,driver,lap,c_old,c_new,age_old,age_new,t_old,t_new,fuel_old,fuel_new,close_old,close_new,step_obs,pair,d_fuel,d_close,tt,horizon,age,progress,race_laps,n_recent,spread,last_minus_median,median3_minus_last,median8_minus_last,slope,slope_h,kalman_minus_last,kalman_trend,kalman_h,last_delta,field_delta,soft,medium,hard,pace_scale,innovation,median5_minus_last,mean3_minus_last,mean8_minus_last,field_relative,field_spread,trend_change,history_span,position,track_temp_c,air_temp_c,track_temp_change_c,weather_missing,rainfall,humidity_pct,wind_speed_ms,traffic_close,traffic_near,traffic_gap_s,traffic_missing,traffic_change,thermal_age,traffic_age,field_laps_log,target_lap,issued_s,segment,compound,current_s,mean,existing_factorized,age_a16_seconds,age_a16_normalized,age_a64_seconds,age_a64_normalized,age_a256_seconds,age_a256_normalized,state_a16_seconds,state_a16_normalized,state_a64_seconds,state_a64_normalized,state_a256_seconds,state_a256_normalized,environment_a16_seconds,environment_a16_normalized,environment_a64_seconds,environment_a64_normalized,environment_a256_seconds,environment_a256_normalized,environment_a64_balanced,environment_a256_balanced
4,ALB,26.0,MEDIUM,HARD,25.0,3.0,95.32799999999999,93.832,40.52631578947368,34.385964912280706,0.27918494152046786,0.33886107634543183,1.4959999999999951,MEDIUM>HARD,6.140350877192972,-0.05967613482496398,38.45361423264986,1,26.0,0.45614035087719296,57,8,0.11999999999999744,-0.13299999999999557,0.15500000000000114,0.07399999999999807,0.014000000000000767,0.014000000000000767,0.19495167432378935,0.0007956030975121535,0.0007956030975121535,-0.15500000000000114,0.005000000000009663,0,1,0,94.964,-0.3264663434971453,0.13299999999999557,0.3639999999999901,0.1548750000000041,-0.03700000000000614,1.036999999999992,-0.013204396902488614,7.0,10.0,37.5,27.6,0.10000000000000142,0,0,68.5,0.9,0.063158,0.394737,3.040145,0,-0.305263,2.6,0.06568432,6.182084906716632,27,6191.349,8,MEDIUM,94.964,0.9663434343434372,0.8938054828308166,0.9396661168827588,0.9809169286868876,0.8880182398898009,0.9336848728305115,0.9004563485779813,0.95313264814967,1.146652214022464,1.1541244536644542,1.0097572417960594,1.037881793400403,0.9444138786398134,0.9904036904989674,0.8415931987441766,0.8757222313599647,0.8317188091106203,0.8726989380209454,0.8711589768605833,0.9212540432983979,0.8228760241625458,0.9187624803908518
4,ALO,40.0,MEDIUM,SOFT,39.0,3.0,96.99366666666667,94.552,23.333333333333332,17.19298245614035,0.121606249574841,0.46568949648715585,2.441666666666663,MEDIUM>SOFT,6.140350877192983,-0.34408324691231484,38.51611943297426,1,40.0,0.7017543859649122,57,8,0.15699999999999648,1.1589999999999918,-0.8469999999999942,-1.1664999999999992,0.12657142857142828,0.12657142857142828,-0.7445714076873458,0.08714186288966748,0.08714186288966748,1.3229999999999933,0.0799999999999983,0,1,0,97.717,1.1468188760862859,-1.1589999999999918,-0.7233333333333292,-1.1063749999999999,3.7055000000000007,0.7519999999999953,-0.0394295656817608,7.0,15.0,39.4,28.0,0.19999999999999574,0,0,67.7,0.8,0.328205,0.65641,1.262288,0,0.266029,7.039999999999997,0.525128,6.610696044717759,41,7567.875,8,MEDIUM,97.717,0.9663434343434372,2.3586068442621597,1.9675385132927652,2.082505102605955,1.473725003191249,1.577706532094442,1.1562406384643427,1.2517266272005392,2.237035892717154,2.2776445691343112,1.799490257306874,1.8692494282336618,1.3555883995610813,1.4414635014583905,1.8394717627265487,2.032808064483411,1.5338967549928961,1.6853403211287563,1.2471291537273228,1.3606990620027495,1.5500734056945056,1.347444196722266
4,ANT,25.0,MEDIUM,HARD,24.0,3.0,92.95466666666668,92.485,41.75438596491228,35.614035087719294,0.08602150537634408,0.4319283870125385,0.4696666666666829,MEDIUM>HARD,6.1403508771929864,-0.34590688163619443,38.53057167034027,1,25.0,0.43859649122807015,57,8,0.15699999999999648,0.07399999999999807,-0.07399999999999807,-0.028499999999993975,-0.05112499999999862,-0.05112499999999862,-0.15726387852964763,-0.036761018238614454,-0.036761018238614454,0.26599999999999113,0.20299999999999585,0,1,0,93.068,0.27065871681475073,-0.07399999999999807,-0.11333333333334394,-0.018999999999991246,-1.7420000000000044,1.1304999999999978,0.014363981761384169,7.0,2.0,37.0,27.5,0.0,0,0,68.8,0.6,0.155914,0.543011,2.299924,0,0.043010999999999994,2.0,0.155914,6.126869184114185,26,6066.067,8,MEDIUM,93.068,0.9663434343434372,0.6889411659848175,0.9141001587950055,0.9365617447341547,0.8727244638130485,0.9001989925000762,0.8937795307538591,0.9275726320428348,0.8486581505092127,0.8196384756763537,0.8217097989596057,0.8258452170382573,0.8571186967482806,0.8826213174638923,0.6662884706753036,0.6864529245671261,0.7322796097561151,0.7605247820788897,0.8271245166392222,0.8609809642393568,0.8385986375414574,0.9389462099793531
4,BEA,25.0,MEDIUM,HARD,24.0,3.0,95.55033333333334,93.882,41.75438596491228,35.614035087719294,0.30599036451231704,0.46276595744680854,1.6683333333333366,MEDIUM>HARD,6.1403508771929864,-0.1567755929344915,38.53057167034027,1,25.0,0.43859649122807015,57,8,0.08050000000000068,-0.09199999999999875,0.09199999999999875,0.09099999999999397,-0.01258333333333302,-0.01258333333333302,0.34048268390850467,0.019268076860537504,0.019268076860537504,-0.09199999999999875,0.2389999999999901,0,1,0,95.015,-0.5859871140526707,0.09199999999999875,0.535333333333341,0.2688749999999942,0.009500000000002728,1.116500000000002,0.03185141019387053,7.0,11.0,37.4,27.5,0.3999999999999986,0,0,68.7,1.7,0.2,0.752632,1.761029,0,0.0,2.3999999999999986,0.2,6.1463292576688975,26,6098.175,8,MEDIUM,95.015,0.9663434343434372,0.8563384170303914,0.9141001587950055,0.9561547919361726,0.8727244638130485,0.9190313241113459,0.8937795307538591,0.9469776253228818,1.12947142710672,1.1221796764402345,0.9530807309601182,0.9787450536371324,0.9006121446336417,0.9465681353671264,1.0390635458132746,1.1016836046223086,0.8873987676152814,0.943022416212979,0.8767450191593976,0.9323009206646511,0.8943313243440977,0.9514036823199916
4,BOR,31.0,MEDIUM,HARD,30.0,3.0,95.08433333333333,93.68366666666668,34.38596491228069,28.245614035087716,0.052539726279048404,0.04981605795122691,1.4006666666666518,MEDIUM>HARD,6.140350877192976,0.0027236683278214976,38.37182574836945,1,31.0,0.543859649122807,57,8,0.02750000000000341,0.17799999999999727,-0.17799999999999727,-0.19199999999999307,0.015999999999998238,0.015999999999998238,-0.20419716768363116,-0.02114497553486403,-0.02114497553486403,0.17799999999999727,-0.09099999999999397,0,1,0,95.204,0.3174137806913535,-0.17799999999999727,-0.11966666666666015,-0.1557499999999976,1.4199999999999875,0.9200000000000017,-0.03714497553486227,7.0,9.0,38.9,28.0,0.10000000000000142,0,0,66.6,1.7,0.068063,0.282723,3.742947,0,-0.0003579999999999972,4.835999999999998,0.08439812,6.35088571671474,32,6676.028,8,MEDIUM,95.204,0.9663434343434372,1.2338473066626992,1.0722896027173967,1.1148046495516748,0.9690660469167233,1.0166247321015878,0.9364192120823828,0.9915920008856679,1.299951500477524,1.2945657769529297,1.1641069631084682,1.185916060673413,1.0367474459550554,1.0823441748338858,0.9257950914738617,0.9921090183706028,0.9233171040441837,0.9855775210384071,0.9390101514172057,0.9991248476277126,0.9024967075277832,0.9784226681490357
4,BOT,20.0,SOFT,MEDIUM,13.0,3.0,97.175,96.75733333333334,47.89473684210526,41.75438596491228,0.18465939337649487,0.49876859970771886,0.41766666666666197,SOFT>MEDIUM,6.140350877192979,-0.31410920633122397,39.17176563179955,1,14.0,0.3508771929824561,57,5,0.13599999999999568,1.137999999999991,-1.0019999999999953,-1.137999999999991,0.34941666666666416,0.34941666666666416,-0.5511939930543122,0.18469294913754183,0.18469294913754183,1.0019999999999953,0.09300000000000352,1,0,0,97.904,1.0498184229073075,-1.137999999999991,-0.7289999999999992,-1.0297999999999945,2.7989999999999924,1.2430000000000092,-0.16472371752912232,4.0,17.0,37.4,27.8,-1.0,0,0,67.8,1.2,0.357143,0.704082,1.31969,0,0.290133,1.3439999999999992,0.20000008000000002,5.948034989180646,21,5640.184,8,SOFT,97.904,0.9663434343434372,,,,,,,,,,,,,,,,,,,,,
4,BOT,29.0,MEDIUM,MEDIUM,7.0,12.0,96.56700000000001,98.42900000000002,36.84210526315789,30.701754385964914,0.08808290155440414,0.16696057910343623,-1.862000000000009,MEDIUM>MEDIUM,6.140350877192976,-0.07887767754903209,38.35043380992113,1,8.0,0.5087719298245614,57,7,0.10599999999999454,0.0,0.09000000000000341,0.0,0.01766666666666576,0.01766666666666576,-0.012690104067900165,-0.06116244408606012,-0.06116244408606012,-0.16800000000000637,0.04999999999999716,0,1,0,96.481,0.023293549888634857,0.0,0.08600000000001273,0.12400000000000944,2.2889999999999873,1.3099999999999952,-0.07882911075272588,6.0,18.0,38.3,27.8,0.29999999999999716,0,0,66.8,0.8,0.067358,0.378238,3.142897,0,-0.010361999999999996,1.0559999999999992,0.02155456,6.302618975744905,30,6530.864,9,MEDIUM,96.481,0.9663434343434372,,,,,,,,,,,,,,,,,,,,,
4,COL,30.0,MEDIUM,HARD,29.0,3.0,94.302,93.089,35.614035087719294,29.473684210526315,0.051334008780817286,0.057347670250896064,1.213000000000008,MEDIUM>HARD,6.140350877192979,-0.006013661470078778,38.3474259402172,1,30.0,0.5263157894736842,57,8,0.07900000000000063,-0.08300000000001262,0.13100000000000023,0.028000000000005798,0.02507142857142851,0.02507142857142851,-0.0028084976690365693,-0.023961694361626644,-0.023961694361626644,-0.13100000000000023,-0.08599999999999852,0,1,0,94.192,0.0044180532585045285,0.08300000000001262,0.11000000000001364,0.010625000000004547,0.07549999999999102,1.3699999999999974,-0.04903312293305515,7.0,4.0,38.8,27.9,0.7999999999999972,0,0,66.4,0.0,0.069149,0.12234,5.845702,0,0.005656999999999995,4.559999999999997,0.0829788,6.309918278226516,31,6556.866,8,MEDIUM,94.192,0.9663434343434372,1.0297070287452263,1.0451108549974684,1.0763164627270738,0.952248291453243,0.9892627808954116,0.9288879416958437,0.973574219526246,1.1974646446990262,1.1968123696054147,1.0781813598974224,1.096479055205874,0.9908621875519161,1.0280232065549535,0.8737917930130662,0.9376332549828753,0.8905438477285668,0.9474230465304746,0.9222274991469896,0.9736527875597945,0.8459611541838474,0.9402963840412629
4,HAM,26.0,MEDIUM,HARD,25.0,3.0,94.41033333333333,92.75066666666667,40.52631578947368,34.385964912280706,0.08630085852930197,0.05216506829410056,1.6596666666666522,MEDIUM>HARD,6.140350877192972,0.03413579023520141,38.45361423264986,1,26.0,0.45614035087719296,57,8,0.0799999999999983,0.8169999999999931,-0.7939999999999969,-0.805499999999995,0.017666666666665755,0.017666666666665755,-0.5313108579954644,0.05665034052175901,0.05665034052175901,0.7939999999999969,-0.09199999999999875,0,1,0,94.984,0.8897338977557041,-0.8169999999999931,-0.5736666666666679,-0.7637500000000017,-0.03100000000000591,0.9440000000000026,0.03898367385509326,7.0,5.0,36.8,27.6,-0.6000000000000014,0,0,67.9,0.9,0.168421,0.342105,3.574256,0,0.10459099999999999,1.871999999999997,0.17515784,6.171700597410915,27,6175.193,8,MEDIUM,94.984,0.9663434343434372,1.0442677552853357,0.9396661168827588,0.9811235157996222,0.8880182398898009,0.9338815125830134,0.9004563485779813,0.9533333837227607,1.201241957845536,1.1948694067066574,1.1042030033352592,1.118848776966487,1.0117901939635139,1.0519284280757593,0.9750450169934068,1.0194439998393297,0.9618815561111064,1.0070357109283947,0.9570432367256309,1.0076690146812604,1.0076868142218147,1.0487451540992374
4,LEC,20.0,MEDIUM,HARD,19.0,3.0,93.64,93.48666666666666,47.89473684210526,41.75438596491228,0.04982553950013274,0.7775793789157267,0.15333333333333599,MEDIUM>HARD,6.140350877192979,-0.727753839415594,39.17176563179955,1,20.0,0.3508771929824561,57,4,0.0764999999999958,-0.0014999999999929514,0.0,0.0014999999999929514,-0.3711666666666626,-0.3711666666666626,-0.018115622383987784,-0.08951043397592581,-0.08951043397592581,0.14999999999999147,-0.15100000000000335,0,1,0,93.689,0.03457909990021335,0.0014999999999929514,-0.049000000000006594,0.4052499999999952,-1.180499999999995,1.1659999999999897,0.2816562326907368,3.0,3.0,37.4,27.8,-1.3000000000000043,0,0,67.8,1.2,0.058824,0.229947,3.999103,0,-0.0053470000000000045,1.9199999999999988,0.047059199999999995,5.910796644040527,21,5605.776,8,MEDIUM,93.689,0.9663434343434372,0.5446255018188344,0.7907850346683478,0.8225072825306157,0.8008781598866201,0.8361303404156308,0.8630705081510165,0.9036055333135105,0.63294361617277,0.6278800402535557,0.7514467646696117,0.7652696077983325,0.8448216393036226,0.8770861861183612,0.2965427116548984,0.3126804506420981,0.5573812815388421,0.5863920025673887,0.7619646399187574,0.8006888538735599,0.5454017902981344,0.7900135406628158
