Round,Event,Driver,PitLap,age_old,race_laps,open_lap,close_lap,width,has_window,inside,laps_outside
11,,COL,14,13.0,70.0,13.0,56.0,44.0,True,True,0.0
11,,COL,36,20.0,70.0,17.0,58.0,42.0,True,True,0.0
11,,GAS,15,14.0,70.0,13.0,54.0,42.0,True,True,0.0
11,,GAS,37,20.0,70.0,18.0,57.0,40.0,True,True,0.0
11,,GAS,54,14.0,70.0,41.0,59.0,19.0,True,True,0.0
11,,HAD,18,17.0,70.0,13.0,55.0,43.0,True,True,0.0
11,,HAD,41,20.666666666666668,70.0,21.0,58.0,38.0,True,True,0.0
11,,HAM,12,11.0,70.0,13.0,56.0,44.0,True,False,1.0
11,,HAM,29,15.0,70.0,15.0,58.0,44.0,True,True,0.0
11,,HAM,55,24.0,70.0,32.0,59.0,28.0,True,True,0.0
11,,HUL,18,17.0,70.0,13.0,55.0,43.0,True,True,0.0
11,,HUL,37,17.0,70.0,21.0,59.0,39.0,True,True,0.0
11,,LAW,20,19.0,70.0,13.0,55.0,43.0,True,True,0.0
11,,LAW,41,19.0,70.0,23.0,59.0,37.0,True,True,0.0
11,,LEC,15,17.0,70.0,13.0,56.0,44.0,True,True,0.0
11,,LEC,35,18.0,70.0,18.0,58.0,41.0,True,True,0.0
11,,LEC,55,18.0,70.0,38.0,59.0,22.0,True,True,0.0
11,,LIN,19,18.0,70.0,13.0,55.0,43.0,True,True,0.0
11,,NOR,16,15.0,70.0,13.0,55.0,43.0,True,True,0.0
11,,NOR,38,20.0,70.0,19.0,57.0,39.0,True,True,0.0
11,,NOR,55,15.0,70.0,41.0,59.0,19.0,True,True,0.0
11,,OCO,16,15.0,70.0,13.0,54.0,42.0,True,True,0.0
11,,OCO,34,16.0,70.0,19.0,58.0,40.0,True,True,0.0
11,,PIA,15,14.0,70.0,13.0,57.0,45.0,True,True,0.0
11,,PIA,32,15.0,70.0,18.0,58.0,41.0,True,True,0.0
11,,RUS,26,25.0,70.0,13.0,55.0,43.0,True,True,0.0
11,,RUS,53,25.0,70.0,29.0,58.0,30.0,True,True,0.0
11,,SAI,17,16.0,70.0,13.0,41.0,29.0,True,True,0.0
11,,SAI,42,23.0,70.0,20.0,38.0,19.0,True,False,4.0
11,,SAI,53,12.0,70.0,42.0,55.0,14.0,True,True,0.0
11,,STR,7,6.0,70.0,13.0,47.0,35.0,True,False,6.0
11,,STR,36,27.0,70.0,13.0,35.0,23.0,True,False,1.0
11,,VER,13,12.0,70.0,13.0,56.0,44.0,True,True,0.0
11,,VER,40,24.333333333333332,70.0,17.0,59.0,43.0,True,True,0.0
12,,ALB,25,22.0,72.0,15.0,48.0,34.0,True,True,0.0
12,,ALB,48,21.0,72.0,28.0,56.0,29.0,True,True,0.0
12,,ALO,33,30.0,72.0,15.0,26.0,12.0,True,False,7.0
12,,ANT,20,19.0,72.0,15.0,20.0,6.0,True,True,0.0
12,,ANT,39,17.0,72.0,23.0,48.0,26.0,True,True,0.0
12,,BOR,10,,,,,,False,False,
12,,BOR,33,21.0,72.0,15.0,39.0,25.0,True,True,0.0
12,,BOT,27,24.0,72.0,15.0,48.0,34.0,True,True,0.0
12,,COL,20,17.0,72.0,15.0,48.0,34.0,True,True,0.0
12,,COL,44,22.0,72.0,23.0,40.0,18.0,True,False,4.0
12,,GAS,17,,,,,,False,False,
12,,GAS,45,26.0,72.0,20.0,51.0,32.0,True,True,0.0
12,,HAM,24,24.0,72.0,15.0,44.0,30.0,True,True,0.0
12,,HUL,18,,,,,,False,False,
12,,HUL,47,27.0,72.0,21.0,40.0,20.0,True,False,7.0
12,,LAW,20,,,,,,False,False,
12,,LAW,46,,,,,,False,False,
12,,LEC,20,,,,,,False,False,
12,,LEC,42,20.0,72.0,23.0,36.0,14.0,True,False,6.0
12,,LIN,35,29.0,72.0,15.0,16.0,2.0,True,False,19.0
12,,NOR,20,20.0,72.0,15.0,41.0,27.0,True,True,0.0
12,,NOR,46,24.0,72.0,23.0,46.0,24.0,True,True,0.0
12,,OCO,15,15.0,72.0,15.0,44.0,30.0,True,True,0.0
12,,OCO,35,18.0,72.0,18.0,49.0,32.0,True,True,0.0
12,,PER,28,25.0,72.0,15.0,51.0,37.0,True,True,0.0
12,,PIA,17,14.0,72.0,15.0,30.0,16.0,True,True,0.0
12,,PIA,43,24.0,72.0,20.0,39.0,20.0,True,False,4.0
12,,RUS,16,15.0,72.0,15.0,20.0,6.0,True,True,0.0
12,,RUS,39,21.0,72.0,19.0,44.0,26.0,True,True,0.0
12,,SAI,29,26.0,72.0,15.0,43.0,29.0,True,True,0.0
12,,STR,14,11.0,72.0,15.0,45.0,31.0,True,False,1.0
12,,STR,34,18.0,72.0,17.0,50.0,34.0,True,True,0.0
12,,TSU,17,14.0,72.0,15.0,44.0,30.0,True,True,0.0
12,,TSU,42,23.0,72.0,20.0,42.0,23.0,True,True,0.0
