round,n,deployed,hybrid,b_traj,traj alone
1,25,0.8646467192965799,0.8317574625483558,0.2131950705650193,0.7092891112104887
3,5,0.303236211275205,0.27196676495400945,0.34415248373705276,0.40781695032611215
4,19,0.9500847577480925,0.9124362387171739,0.15761623895478677,0.7689846193613172
5,21,1.5969037869137042,1.5983209258084787,0.35660818319109183,1.7866339992017104
6,14,1.7322771405785822,1.9440643209037645,1.2376729622458362,1.88313402908987
7,40,0.7444894028588502,0.7414611910982084,0.2535705930813171,1.5444678082045888
8,41,0.7676188900630846,0.7698171805162302,0.30516164129424145,0.9637934657540516
9,24,0.6673953305690187,0.6370270653077525,0.2244169584090052,0.9158174992045484
10,18,1.2051304468456847,1.2170911315833155,0.38188604075345667,1.1235309403392026
11,43,0.7510862508420705,0.7433085656110989,0.25471878300766343,1.13026960321292
12,34,0.7933364012357942,0.7830309522934836,0.2806895185196792,0.8213309561599637
