spec,rmse_s,mae_s,calib_slope,n,vs_mean_pct
mean only,1.0772652839488905,0.7991390735854259,-9.462024622357141,284,0.0
temp,0.9978172416722395,0.7604644771685098,0.7311311813061591,284,7.374974712395943
traffic,1.0724545005665593,0.7958187737661475,-1.290942920451487,284,0.4465736948931043
temp+traffic,0.9885021939349853,0.7498585096411855,0.7485769586026264,284,8.239668662534982
pair+temp+traffic,0.9580678184826412,0.7453711035901656,0.7851647038156414,284,11.064820081207083
+ age (linear),0.9887559020059715,0.754300158493421,0.6690016490943861,284,8.21611753963457
+ age (curved),0.9665418519310213,0.7445502141363569,0.7336062308554643,284,10.278195507423627
