Round,Event,Driver,PitLap,InLap,t_inlap,t_outlap,t_old,t_new,pit_loss_s,green
4,Miami Grand Prix,BOT,29.0,30.0,102.584,108.779,96.567,98.42900000000002,16.36699999999999,True
4,Miami Grand Prix,PIA,27.0,28.0,98.991,107.494,94.19066666666669,92.262,20.032333333333312,True
4,Miami Grand Prix,BEA,25.0,26.0,99.688,108.534,95.55033333333334,93.882,18.789666666666662,True
5,Canadian Grand Prix,PER,14.0,15.0,96.181,84.198,78.75533333333334,78.98833333333333,22.63533333333332,True
5,Canadian Grand Prix,PER,28.0,29.0,112.109,108.011,78.18966666666665,79.53766666666667,62.39266666666667,False
5,Canadian Grand Prix,ANT,29.0,31.0,119.239,101.101,76.05,77.21866666666666,67.07133333333334,False
5,Canadian Grand Prix,LEC,29.0,31.0,125.485,95.42,76.28233333333334,76.97433333333333,67.64833333333333,False
5,Canadian Grand Prix,STR,48.0,49.0,96.887,105.68,80.72033333333333,79.87133333333334,41.97533333333334,False
5,Canadian Grand Prix,HUL,19.0,20.0,100.437,82.641,77.95433333333334,77.85966666666667,27.263999999999996,True
5,Canadian Grand Prix,VER,29.0,31.0,119.102,100.342,76.206,77.27,65.968,False
5,Canadian Grand Prix,OCO,15.0,16.0,98.391,85.162,79.063,78.89433333333334,25.595666666666673,True
5,Canadian Grand Prix,OCO,28.0,30.0,130.988,88.276,78.66866666666665,79.34566666666666,61.249666666666684,False
5,Canadian Grand Prix,COL,29.0,30.0,108.947,105.337,77.08133333333332,77.98466666666667,59.21800000000002,False
5,Canadian Grand Prix,HAM,29.0,31.0,122.954,96.411,76.323,76.74833333333333,66.29366666666667,False
5,Canadian Grand Prix,BOR,17.0,18.0,94.414,85.108,77.78566666666666,79.06,22.676333333333346,False
5,Canadian Grand Prix,SAI,28.0,30.0,116.283,104.583,76.901,79.04466666666667,64.92033333333333,False
5,Canadian Grand Prix,HAD,29.0,31.0,117.518,96.382,76.68,77.50866666666666,59.71133333333334,False
5,Canadian Grand Prix,HAD,51.0,52.0,110.309,97.681,75.58333333333333,76.26066666666667,56.146,False
5,Canadian Grand Prix,HAD,60.0,62.0,102.996,79.543,75.00699999999999,75.54633333333334,31.985666666666674,True
5,Canadian Grand Prix,BOT,27.0,29.0,121.776,89.383,79.78899999999999,80.09233333333333,51.277666666666676,False
5,Canadian Grand Prix,BOT,48.0,49.0,119.523,99.569,79.35199999999999,81.99066666666666,57.749333333333354,False
5,Canadian Grand Prix,PIA,11.0,12.0,109.686,83.843,77.561,78.05766666666666,37.91033333333334,False
5,Canadian Grand Prix,PIA,50.0,51.0,120.121,95.146,76.37266666666666,77.40666666666667,61.48766666666667,False
5,Canadian Grand Prix,BEA,28.0,30.0,133.826,101.901,77.521,78.63600000000001,79.56999999999998,False
6,Monaco Grand Prix,GAS,44.0,45.0,97.189,83.643,78.78066666666668,79.205,22.84633333333332,True
6,Monaco Grand Prix,ANT,36.0,37.0,93.595,82.214,76.58266666666667,76.54299999999999,22.683333333333337,True
6,Monaco Grand Prix,LEC,34.0,35.0,96.5,83.426,77.83066666666666,77.031,25.064333333333337,True
6,Monaco Grand Prix,ALB,42.0,43.0,99.0,82.343,79.66866666666667,82.83533333333334,18.839,True
6,Monaco Grand Prix,HUL,11.0,12.0,94.679,80.349,79.279,76.39966666666666,19.349333333333348,True
6,Monaco Grand Prix,LAW,43.0,44.0,97.323,84.98,79.74833333333333,78.26633333333332,24.28833333333334,True
6,Monaco Grand Prix,OCO,8.0,9.0,97.26,81.954,79.53699999999999,77.65433333333334,22.022666666666666,True
6,Monaco Grand Prix,COL,34.0,35.0,99.849,81.423,80.33033333333333,78.109,22.832666666666682,True
6,Monaco Grand Prix,HAM,27.0,28.0,94.17,80.829,77.98233333333333,76.921,20.09566666666666,True
6,Monaco Grand Prix,BOR,42.0,43.0,98.02,81.76,81.32533333333333,77.02633333333334,21.428333333333327,True
6,Monaco Grand Prix,SAI,51.0,52.0,96.576,81.892,78.095,79.726,20.64699999999999,True
6,Monaco Grand Prix,HAD,31.0,32.0,96.191,85.121,78.78366666666666,78.16199999999999,24.366333333333344,True
6,Monaco Grand Prix,RUS,30.0,31.0,95.32,80.775,78.74433333333333,76.84466666666667,20.506,True
6,Monaco Grand Prix,PIA,47.0,48.0,96.741,83.646,79.528,77.49166666666666,23.367333333333335,True
7,Barcelona Grand Prix,NOR,12.0,13.0,87.846,100.651,83.44600000000001,82.069,22.981999999999985,True
7,Barcelona Grand Prix,NOR,34.0,35.0,87.299,99.962,83.187,80.83633333333334,23.23766666666667,True
7,Barcelona Grand Prix,GAS,13.0,14.0,89.745,102.799,85.85266666666666,83.25733333333334,23.43400000000001,True
7,Barcelona Grand Prix,GAS,38.0,40.0,108.52,103.4,85.385,81.894,44.64099999999999,False
7,Barcelona Grand Prix,PER,11.0,12.0,91.348,106.469,86.87333333333333,84.77266666666667,26.170999999999992,True
7,Barcelona Grand Prix,PER,30.0,31.0,91.808,105.237,86.83933333333334,84.39766666666667,25.807999999999993,True
7,Barcelona Grand Prix,PER,37.0,39.0,112.623,106.284,85.00566666666667,84.35866666666666,49.542666666666676,False
7,Barcelona Grand Prix,ANT,13.0,14.0,87.034,100.87,83.50433333333335,81.84666666666668,22.552999999999983,True
7,Barcelona Grand Prix,ANT,36.0,37.0,85.693,100.095,82.93400000000001,80.90466666666667,21.949333333333314,True
7,Barcelona Grand Prix,ALO,20.0,21.0,93.829,105.173,87.90066666666667,85.71866666666665,25.38266666666668,True
7,Barcelona Grand Prix,LEC,15.0,16.0,87.915,101.974,83.84833333333334,81.97866666666665,24.062000000000012,True
7,Barcelona Grand Prix,LEC,38.0,39.0,88.314,114.194,83.10233333333333,80.78866666666666,38.617000000000004,False
7,Barcelona Grand Prix,ALB,12.0,13.0,90.373,106.18,86.53666666666668,84.99766666666666,25.018666666666675,True
7,Barcelona Grand Prix,HUL,12.0,13.0,89.911,104.738,85.52766666666666,84.45733333333334,24.664,True
7,Barcelona Grand Prix,VER,11.0,12.0,88.494,101.097,84.153,82.00633333333333,23.431666666666658,True
7,Barcelona Grand Prix,VER,28.0,29.0,87.242,102.514,83.33466666666668,81.49566666666668,24.925666666666643,True
7,Barcelona Grand Prix,VER,39.0,40.0,92.671,120.78,81.96733333333333,80.485,50.99866666666668,False
7,Barcelona Grand Prix,LAW,10.0,11.0,89.068,106.877,85.261,84.50733333333334,26.176666666666662,True
7,Barcelona Grand Prix,LAW,34.0,35.0,89.233,103.904,85.23666666666666,84.2,23.700333333333333,True
7,Barcelona Grand Prix,OCO,12.0,13.0,91.048,104.509,86.69266666666665,84.34166666666665,24.522666666666694,True
7,Barcelona Grand Prix,OCO,33.0,34.0,91.087,106.543,86.64166666666665,83.192,27.796333333333365,True
7,Barcelona Grand Prix,LIN,21.0,22.0,90.108,104.347,86.382,83.96766666666667,24.10533333333332,True
7,Barcelona Grand Prix,COL,11.0,12.0,89.443,104.099,85.99866666666667,83.949,23.59433333333334,True
7,Barcelona Grand Prix,COL,33.0,34.0,88.651,102.632,85.00533333333334,84.21600000000001,22.061666666666653,True
7,Barcelona Grand Prix,HAM,10.0,11.0,87.828,100.8,83.46300000000001,81.80633333333334,23.35866666666665,True
7,Barcelona Grand Prix,HAM,26.0,27.0,87.024,99.857,83.16166666666668,80.756,22.963333333333324,True
7,Barcelona Grand Prix,HAM,39.0,41.0,110.885,101.055,81.39933333333333,80.18833333333333,50.35233333333335,False
7,Barcelona Grand Prix,BOR,14.0,15.0,89.806,104.821,86.70566666666666,83.64800000000001,24.273333333333326,True
7,Barcelona Grand Prix,BOR,32.0,33.0,89.825,103.826,86.832,83.663,23.156000000000006,True
7,Barcelona Grand Prix,BOR,52.0,53.0,88.318,105.439,84.07633333333332,81.919,27.76166666666667,True
7,Barcelona Grand Prix,SAI,13.0,14.0,89.888,104.877,86.337,84.24433333333333,24.183666666666667,True
7,Barcelona Grand Prix,SAI,29.0,30.0,88.745,105.059,85.39299999999999,84.027,24.384000000000015,True
7,Barcelona Grand Prix,SAI,54.0,55.0,89.059,103.794,84.53333333333335,82.19866666666667,26.12099999999998,True
7,Barcelona Grand Prix,HAD,14.0,15.0,88.08,102.237,85.15066666666667,82.28133333333334,22.88499999999999,True
7,Barcelona Grand Prix,HAD,31.0,32.0,87.725,101.002,84.16799999999999,81.78833333333334,22.770666666666656,True
7,Barcelona Grand Prix,RUS,11.0,12.0,87.454,100.974,83.46966666666667,81.97433333333333,22.983999999999995,True
7,Barcelona Grand Prix,RUS,35.0,36.0,87.737,99.632,83.00233333333334,80.84266666666667,23.523999999999987,True
7,Barcelona Grand Prix,PIA,13.0,14.0,88.542,102.741,84.07099999999998,82.34633333333333,24.865666666666684,True
7,Barcelona Grand Prix,PIA,35.0,36.0,86.917,102.367,83.16033333333333,81.75733333333334,24.366333333333344,True
7,Barcelona Grand Prix,BEA,17.0,18.0,91.2,104.483,86.24533333333333,84.47599999999998,24.961666666666687,True
8,Austrian Grand Prix,NOR,20.0,21.0,78.354,90.005,73.78866666666667,71.82966666666665,22.74066666666667,True
8,Austrian Grand Prix,NOR,46.0,47.0,76.801,88.64,72.36399999999999,71.00966666666666,22.06733333333335,True
8,Austrian Grand Prix,GAS,12.0,13.0,79.306,90.469,75.22833333333334,73.192,21.35466666666666,True
8,Austrian Grand Prix,GAS,37.0,38.0,78.051,89.337,73.87433333333334,72.37766666666667,21.135999999999996,True
8,Austrian Grand Prix,GAS,50.0,51.0,78.808,91.156,72.83466666666666,72.63366666666667,24.49566666666668,False
8,Austrian Grand Prix,ANT,23.0,24.0,78.234,113.381,73.29733333333333,71.60966666666667,46.708,False
8,Austrian Grand Prix,ANT,50.0,51.0,76.579,96.107,72.02699999999999,70.43266666666666,30.226333333333343,False
8,Austrian Grand Prix,ALO,22.0,24.0,92.536,109.372,76.23233333333333,75.10366666666665,50.57200000000002,False
8,Austrian Grand Prix,ALO,48.0,49.0,80.214,108.485,75.71900000000001,73.264,39.715999999999994,False
8,Austrian Grand Prix,LEC,12.0,13.0,77.722,89.806,73.329,72.77666666666666,21.42233333333334,True
8,Austrian Grand Prix,LEC,36.0,37.0,78.434,88.302,72.36466666666666,71.45566666666667,22.915666666666667,True
8,Austrian Grand Prix,LEC,58.0,59.0,78.286,89.606,72.91866666666667,70.968,24.005333333333326,True
