compound,age_lo,age_hi,deg_at_mid,deg_at_10,loss_support_s,loss_0_15_s,lin_s_per_lap,quad_s_per_lap2
SOFT,2.0,54.0,0.01716530276647843,0.004369270060300895,0.8925957438568782,0.03888064943331024,-0.002739636998686623,0.0003554453529493759
MEDIUM,1.0,57.0,0.03875002214956976,0.030878885854934084,2.1700012403759064,0.4476481504003882,0.02673618254196794,0.00020713516564830727
HARD,2.0,50.0,0.03653808209928072,0.05259931808188824,1.753827940765475,0.82663329306256,0.06263759057101793,-0.0005019136244564848
