Round,Driver,PitLap,c_old,c_new,age_old,age_new,t_old,t_new,fuel_old,fuel_new,close_old,close_new,step_obs,pair,d_fuel,d_close,tt
1,ALB,10.0,MEDIUM,HARD,9.0,3.0,85.77199999999999,86.28266666666666,60.3448275862069,53.10344827586207,0.0,0.10732247701340424,-0.5106666666666655,MEDIUM>HARD,7.241379310344826,-0.10732247701340424,36.28552042309123
1,ALB,32.0,HARD,SOFT,19.0,3.0,86.48466666666667,84.62433333333333,33.793103448275865,27.758620689655174,0.02697495183044316,0.027567003132613992,1.8603333333333438,HARD>SOFT,6.03448275862069,-0.0005920513021708332,36.28552042309123
1,BEA,17.0,MEDIUM,HARD,16.0,3.0,84.644,84.46966666666667,51.896551724137936,45.86206896551724,0.12426035502958581,0.3810769672760623,0.17433333333333678,MEDIUM>HARD,6.0344827586206975,-0.25681661224647645,36.28552042309123
1,BOR,17.0,MEDIUM,HARD,16.0,3.0,84.95333333333333,84.891,51.896551724137936,45.86206896551724,0.0846153846153846,0.13269174793347216,0.0623333333333278,MEDIUM>HARD,6.0344827586206975,-0.04807636331808755,36.28552042309123
1,BOR,32.0,HARD,HARD,13.0,3.0,84.165,83.78033333333333,33.793103448275865,27.758620689655174,0.029703202780125854,0.09529750023762,0.38466666666667493,HARD>HARD,6.03448275862069,-0.06559429745749415,36.28552042309123
1,COL,45.0,HARD,SOFT,44.0,3.0,85.18666666666665,83.302,18.10344827586207,12.06896551724138,0.02739364751748653,0.4142918981314479,1.8846666666666465,HARD>SOFT,6.03448275862069,-0.3868982506139614,36.28552042309123
1,GAS,10.0,MEDIUM,HARD,9.0,4.0,85.69133333333333,85.087,60.3448275862069,53.10344827586207,0.8622718052738336,0.3083440705255423,0.6043333333333294,MEDIUM>HARD,7.241379310344826,0.5539277347482914,36.28552042309123
1,HAM,27.0,MEDIUM,HARD,26.0,3.0,83.835,83.26266666666668,39.82758620689655,33.793103448275865,0.031805436745556505,0.030072385349782363,0.5723333333333187,MEDIUM>HARD,6.034482758620683,0.001733051395774142,36.28552042309123
1,LAW,10.0,MEDIUM,HARD,9.0,4.0,85.88799999999999,87.31433333333332,60.3448275862069,53.10344827586207,0.11627906976744184,0.44578504631835797,-1.4263333333333321,MEDIUM>HARD,7.241379310344826,-0.3295059765509161,36.28552042309123
1,LAW,32.0,HARD,SOFT,20.0,3.0,85.76966666666665,85.55933333333333,33.793103448275865,27.758620689655174,0.027245115372410353,0.38772839197963543,0.21033333333332394,HARD>SOFT,6.03448275862069,-0.36048327660722507,36.28552042309123
