spec,rmse_s,mae_s,bias_s,calib_slope,n,vs_mean_pct
zero (a stop buys nothing),1.6250926087731743,1.4439730046948356,-1.2532077464788725,,284,-50.85352076102687
season mean,1.0772652839488903,0.799139073585426,-0.005734788354355355,-9.462024622357122,284,0.0
wear only (no compound),1.2472938803168303,1.0084419237676139,-0.6410450515819877,0.3274646902968703,284,-15.783354286204476
wear + compound,1.180153051435441,0.9478569279918428,-0.5414140522545785,0.3872639829441694,284,-9.550829217237823
"+ fuel, no traffic",1.1762969152739737,0.9474028098659062,-0.5142262802269758,0.2453162602402344,284,-9.192873176240024
