Round,Event,n,raw,mad,median,season_median,shrunk_by_s
1,Australian Grand Prix,5,21.61533333333334,1.1869999999999976,21.69615384615385,21.74666666666667,0.08082051282051239
2,Chinese Grand Prix,1,25.77499999999999,0.0,22.19425925925926,21.74666666666667,-3.5807407407407332
3,Japanese Grand Prix,5,22.931666666666658,0.3356666666666541,22.202435897435898,21.74666666666667,-0.7292307692307602
4,Miami Grand Prix,19,19.765333333333345,0.7473333333333443,20.352395061728405,21.74666666666667,0.5870617283950601
5,Canadian Grand Prix,3,25.595666666666677,1.6683333333333223,22.796393939393944,21.74666666666667,-2.799272727272733
6,Monaco Grand Prix,14,22.353,1.7765000000000057,22.132515151515154,21.74666666666667,-0.22048484848484762
7,Barcelona Grand Prix,35,24.10533333333332,0.8676666666666506,23.666511627906967,21.74666666666667,-0.4388217054263528
8,Austrian Grand Prix,33,21.67666666666668,0.5406666666666808,21.690325203252044,21.74666666666667,0.01365853658536409
9,British Grand Prix,13,20.50466666666665,0.6736666666666338,20.977809523809515,21.74666666666667,0.4731428571428644
10,Belgian Grand Prix,8,21.172666666666665,1.29583333333332,21.459666666666667,21.74666666666667,0.2870000000000026
11,Hungarian Grand Prix,32,22.056999999999988,0.987833333333354,21.994933333333325,21.74666666666667,-0.06206666666666294
12,Dutch Grand Prix,34,19.67416666666667,0.8358333333333334,20.068928571428575,21.74666666666667,0.39476190476190354
