round,driver,lap,issued_s,label_s,control_selection_s,pair,new_compound,old_age,new_age,raw_step_s,control_step_s,relative_step_s,controls,control_n,placebo_relative_s,pretrend_corrected_s,control_mad_s,pre_traffic,post_traffic,pre_mean_s,post_mean_s,horizon,age,progress,race_laps,n_recent,spread,last_minus_median,median3_minus_last,median8_minus_last,slope,slope_h,kalman_minus_last,kalman_trend,kalman_h,last_delta,field_delta,soft,medium,hard,pace_scale,innovation,median5_minus_last,mean3_minus_last,mean8_minus_last,field_relative,field_spread,trend_change,history_span,position,track_temp_c,air_temp_c,track_temp_change_c,weather_missing,rainfall,humidity_pct,wind_speed_ms,traffic_close,traffic_near,traffic_gap_s,traffic_missing,traffic_change,thermal_age,traffic_age,field_laps_log,target_lap,segment,compound,current_s,stint_pace_loss,stint_relative_loss,anchor_age,anchor_span,anchor_traffic_change,anchor_traffic_missing
1,LEC,24,5881.522,6747.116,6747.116,MEDIUM>HARD,HARD,24,2,0.45666666666666345,-0.14499999999999602,0.6016666666666595,"VER,NOR,ANT,RUS,LIN",5,,,0.1453333333333262,0.12974033333333332,0.086045,83.51733333333333,83.06066666666666,1,24.0,0.41379310344827586,58,4,0.07699999999999818,0.21399999999999864,-0.1839999999999975,-0.21399999999999864,0.10333333333332936,0.10333333333332936,-0.11015307996557056,0.03577869753701361,0.03577869753701361,0.1839999999999975,-0.03900000000000148,0,1,0,83.66,0.2102601983917367,-0.21399999999999864,-0.1426666666666705,-0.19149999999999068,-0.9900000000000091,0.9499999999999886,-0.06755463579631575,3.0,1.0,37.0,24.6,0.3999999999999986,0,0,53.4,2.1,0.047904,0.143713,6.712556,0,0.0,1.92,0.04598784,6.063785208687608,25,6,MEDIUM,83.66,0.0,0.0,23.5,0.5,0.0,0
1,STR,25,6078.684,6554.618,6554.618,HARD>SOFT,SOFT,14,2,1.3706666666666791,-0.8036666666666719,2.174333333333351,"PER,SAI,LAW,ALB,COL",5,,,0.7010000000000076,0.08069366666666666,0.09023833333333332,87.88866666666667,86.51799999999999,1,14.0,0.43103448275862066,58,6,0.3084999999999951,1.5220000000000056,-1.5220000000000056,-1.3200000000000074,-0.18199999999998795,-0.18199999999998795,-1.0169782773677127,0.0838952398137168,0.0838952398137168,1.9110000000000014,-0.16049999999999898,0,0,1,89.033,1.8184275917059978,-1.5220000000000056,-1.1443333333333356,-1.173333333333332,4.635999999999996,0.8504999999999967,0.2658952398137048,5.0,17.0,37.1,24.9,-0.5,0,0,52.1,3.3,0.167598,0.268156,5.153644,0,0.13311499999999998,1.1760000000000008,0.09385488,6.156978985585555,26,6,HARD,89.033,0.5176666666666705,0.5279999999999965,12.0,2.0,-0.008896000000000001,0
1,HAM,27,6135.392,6743.473,6743.473,MEDIUM>HARD,HARD,27,2,0.5723333333333187,-0.3333333333333286,0.9056666666666473,"VER,LIN,BEA,NOR,BOR",5,,,0.2150000000000034,0.04975733333333333,0.03999233333333333,83.835,83.26266666666668,1,27.0,0.46551724137931033,58,7,0.15099999999999625,0.0,0.0,-0.10000000000000853,0.05020000000000095,0.05020000000000095,0.15984689712101385,0.05155149609387401,0.05155149609387401,-0.32499999999998863,-0.015999999999991132,0,1,0,83.76,-0.29340986115698797,0.0,0.07499999999998863,0.003142857142847788,-0.9359999999999928,1.016999999999996,0.0013514960938730558,6.0,1.0,36.5,24.8,-0.8999999999999986,0,0,52.0,2.5,0.035714,0.136905,4.848418,0,0.0,1.62,0.03857112,6.182084906716632,28,6,MEDIUM,83.76,0.044666666666657306,0.011333333333335305,24.0,3.0,-0.09169933333333335,0
1,STR,38,8351.984,8807.915,8807.915,SOFT>SOFT,SOFT,4,2,0.3433333333333479,0.3583333333333485,-0.015000000000000568,"GAS,OCO,SAI,BEA,ALB",5,,,0.32833333333334735,0.046513,0.04280599999999999,86.03333333333335,85.69,1,4.0,0.6551724137931034,58,3,0.05000000000001137,0.05000000000001137,-0.05000000000001137,-0.05000000000001137,0.4,0.4,-0.09404164465576059,0.04573685214533178,0.04573685214533178,0.05000000000001137,0.05000000000001137,1,0,0,86.37,0.19643678160920786,-0.05000000000001137,-0.3366666666666589,-0.3366666666666589,2.01100000000001,1.274000000000001,-0.3542631478546682,2.0,17.0,35.3,25.3,-0.30000000000000426,0,0,51.1,3.0,0.046243,0.127168,10.196993,0,-0.0002689999999999984,0.04799999999999954,0.00739888,6.822197390620491,39,9,SOFT,86.37,0.0,0.0,4.0,0.0,0.0,0
1,VER,40,7268.7,8807.915,8807.915,MEDIUM>HARD,HARD,22,2,1.7193333333333385,0.0036666666666604897,1.715666666666678,"LAW,NOR,LEC,RUS,BOR",5,,,0.25933333333333053,0.19860166666666665,0.18600633333333336,84.074,82.35466666666666,1,22.0,0.6896551724137931,58,6,0.24450000000000927,0.6829999999999927,-0.6829999999999927,-0.6554999999999893,-0.027499999999996305,-0.027499999999996305,-0.46676717337511775,0.0501507509527426,0.0501507509527426,0.8799999999999955,-0.09299999999999642,0,1,0,84.595,0.8797795928372665,-0.6829999999999927,-0.5210000000000008,-0.5249999999999915,-0.1980000000000075,1.1409999999999911,0.0776507509527389,5.0,5.0,35.5,25.0,-0.20000000000000284,0,0,52.7,3.1,0.488235,0.976471,1.042378,0,0.41637899999999994,0.44,0.4296468,6.5638555265321274,41,7,MEDIUM,84.595,0.30666666666667197,0.20450000000000068,20.0,2.0,0.146777,0
1,PER,42,7579.576,8807.915,8807.915,HARD>SOFT,SOFT,24,2,1.9646666666666732,0.7040000000000077,1.2606666666666655,"GAS,ALB,LIN,BEA,OCO",5,0.45100000000002183,0.8096666666666437,0.9463333333333281,0.07322533333333332,0.08959733333333335,88.791,86.82633333333332,1,24.0,0.7241379310344828,58,8,0.7989999999999924,0.0,1.2419999999999902,0.46750000000000114,0.00391666666666642,0.00391666666666642,0.20279196282388057,0.0053945081603022325,0.0053945081603022325,-1.262999999999991,-0.06099999999999284,0,0,1,87.956,-0.36741701577902575,0.0,0.8349999999999937,0.24399999999999977,3.657499999999999,0.9945000000000022,0.0014778414936358125,7.0,16.0,36.2,25.2,0.7000000000000028,0,0,52.7,1.0,0.051136,0.130682,6.074276,0,-0.033134,1.1520000000000028,0.04909056,6.645090969505644,43,7,HARD,87.956,1.1569999999999823,1.3078333333333254,19.0,5.0,-0.012039999999999995,0
1,SAI,44,7698.659,8807.915,8807.915,MEDIUM>SOFT,SOFT,11,2,-2.9769999999999897,0.0940000000000083,-3.070999999999998,"GAS,ALB,BEA,LIN,LAW",5,0.6370000000000005,-3.7079999999999984,0.04399999999999693,0.8633756666666667,0.2787236666666667,85.39233333333334,88.36933333333333,1,11.0,0.7586206896551724,58,8,0.6269999999999882,0.0,-0.16799999999999216,0.3464999999999918,-0.22387500000000138,-0.22387500000000138,0.2888137325582818,-0.009516398122665942,-0.009516398122665942,0.24199999999999022,0.05100000000000193,0,1,0,85.529,-0.4875129206334208,0.0,-0.13666666666665606,0.5706250000000068,1.4579999999999984,0.9110000000000014,0.21435860187733544,7.0,15.0,36.2,25.1,0.0,0,0,51.4,4.2,0.736842,1.0,0.73527,0,-0.17492300000000005,0.5280000000000012,0.32421047999999997,6.672032945461067,45,7,MEDIUM,85.529,-1.1679999999999922,-0.7396666666666647,5.0,6.0,0.050475999999999965,0
1,COL,45,7782.716,8807.915,8807.915,HARD>SOFT,SOFT,45,2,1.8846666666666465,0.028333333333335986,1.8563333333333105,"ALB,LIN,BEA,OCO,LAW",5,1.2313333333333532,0.6249999999999574,0.034333333333350424,0.048836333333333336,0.42144766666666666,85.18666666666665,83.302,1,45.0,0.7758620689655172,58,8,0.7125000000000057,-0.33600000000001273,0.30100000000000193,0.9860000000000042,-0.313600000000001,-0.313600000000001,0.2436411259568132,-0.19117385121080044,-0.19117385121080044,-0.30100000000000193,-0.10200000000000387,0,0,1,84.939,-0.3921547003321848,0.33600000000001273,0.24766666666666026,1.054124999999999,0.8089999999999975,1.0919999999999987,0.12242614878920055,7.0,14.0,35.7,25.1,-0.5,0,0,51.4,3.9,0.052941,0.147059,5.427802,0,0.012005000000000002,1.2600000000000051,0.0952938,6.690842277418564,46,8,HARD,84.939,-1.9776666666666785,-1.5643333333333374,37.0,8.0,-0.272532,0
2,LIN,41,7622.713,8160.995,8160.995,HARD>MEDIUM,MEDIUM,41,2,2.5293333333333408,0.3193333333333186,2.210000000000022,"PER,SAI,HAD,BOT,LAW",5,-0.700000000000017,2.910000000000039,0.08900000000001285,,,98.70966666666668,96.18033333333334,1,41.0,0.7321428571428571,56,8,0.0589999999999975,2.024000000000001,-2.024000000000001,-2.001500000000007,-0.01399999999999461,-0.01399999999999461,-1.4237210716637492,0.10069346183331948,0.10069346183331948,2.024000000000001,-0.0034999999999953957,0,0,1,100.061,2.111744635413089,-2.024000000000001,-1.3513333333333293,-1.6847500000000082,2.6345000000000027,0.6139999999999972,0.1146934618333141,7.0,12.0,20.5,15.1,0.0,0,0,56.5,2.7,0.0,0.0,20.0,1,0.0,-23.78,0.0,6.543911845564792,42,9,HARD,100.061,0.6800000000000068,0.5320000000000059,37.0,4.0,0.0,1
2,OCO,45,8029.07,8563.141,8563.141,MEDIUM>SOFT,SOFT,16,2,2.372,-0.0023333333333539485,2.374333333333354,"SAI,HAD,LAW,BOT,BEA",5,-1.2166666666666828,3.5910000000000366,0.13733333333333064,,,98.91666666666667,96.54466666666667,1,16.0,0.8035714285714286,56,8,0.142000000000003,1.132000000000005,0.0,-1.1304999999999978,0.09649999999999892,0.09649999999999892,-0.5195051418340313,0.07275011815919345,0.07275011815919345,1.2999999999999972,0.1560000000000059,0,1,0,99.146,0.8518420158714548,-1.132000000000005,-0.2293333333333294,-0.8405000000000058,1.9179999999999922,0.6045000000000016,-0.023749881840805467,7.0,12.0,20.5,15.1,0.10000000000000142,0,0,56.5,3.9,0.0,0.0,20.0,1,0.0,-9.28,0.0,6.634633357861686,46,10,MEDIUM,99.146,0.8029999999999973,0.9131666666666688,8.0,8.0,0.0,1
