spec,rmse_s,mae_s,bias_s,calib_slope,n,vs_mean_pct
season mean,1.034640582746285,0.7674160798122068,0.00920892018779351,,284,0.0
traj alone,1.180153051435441,0.9478569279918428,-0.5414140522545785,0.3872639829441694,284,-14.064059646966175
deployed,0.9580678184826412,0.7453711035901657,0.06942100012240182,0.7851647038156393,284,7.400904772205418
hybrid,0.9702213271701114,0.7423663256285935,0.0725170994286831,0.7261261196555195,284,6.226244809108794
