round,driver,lap,issued_s,label_s,control_selection_s,pair,new_compound,old_age,new_age,raw_step_s,control_step_s,relative_step_s,controls,control_n,placebo_relative_s,pretrend_corrected_s,control_mad_s,pre_traffic,post_traffic,pre_mean_s,post_mean_s
1,LEC,24,5881.522,6747.116,6747.116,MEDIUM>HARD,HARD,24,2,0.45666666666666345,-0.14499999999999602,0.6016666666666595,"VER,NOR,ANT,RUS,LIN",5,,,0.1453333333333262,0.12974033333333332,0.086045,83.51733333333333,83.06066666666666
1,STR,25,6078.684,6554.618,6554.618,HARD>SOFT,SOFT,14,2,1.3706666666666791,-0.8036666666666719,2.174333333333351,"PER,SAI,LAW,ALB,COL",5,,,0.7010000000000076,0.08069366666666666,0.09023833333333332,87.88866666666667,86.51799999999999
1,HAM,27,6135.392,6743.473,6743.473,MEDIUM>HARD,HARD,27,2,0.5723333333333187,-0.3333333333333286,0.9056666666666473,"VER,LIN,BEA,NOR,BOR",5,,,0.2150000000000034,0.04975733333333333,0.03999233333333333,83.835,83.26266666666668
1,STR,38,8351.984,8807.915,8807.915,SOFT>SOFT,SOFT,4,2,0.3433333333333479,0.3583333333333485,-0.015000000000000568,"GAS,OCO,SAI,BEA,ALB",5,,,0.32833333333334735,0.046513,0.04280599999999999,86.03333333333335,85.69
1,VER,40,7268.7,8807.915,8807.915,MEDIUM>HARD,HARD,22,2,1.7193333333333385,0.0036666666666604897,1.715666666666678,"LAW,NOR,LEC,RUS,BOR",5,,,0.25933333333333053,0.19860166666666665,0.18600633333333336,84.074,82.35466666666666
1,PER,42,7579.576,8807.915,8807.915,HARD>SOFT,SOFT,24,2,1.9646666666666732,0.7040000000000077,1.2606666666666655,"GAS,ALB,LIN,BEA,OCO",5,0.45100000000002183,0.8096666666666437,0.9463333333333281,0.07322533333333332,0.08959733333333335,88.791,86.82633333333332
1,SAI,44,7698.659,8807.915,8807.915,MEDIUM>SOFT,SOFT,11,2,-2.9769999999999897,0.0940000000000083,-3.070999999999998,"GAS,ALB,BEA,LIN,LAW",5,0.6370000000000005,-3.7079999999999984,0.04399999999999693,0.8633756666666667,0.2787236666666667,85.39233333333334,88.36933333333333
1,COL,45,7782.716,8807.915,8807.915,HARD>SOFT,SOFT,45,2,1.8846666666666465,0.028333333333335986,1.8563333333333105,"ALB,LIN,BEA,OCO,LAW",5,1.2313333333333532,0.6249999999999574,0.034333333333350424,0.048836333333333336,0.42144766666666666,85.18666666666665,83.302
2,LIN,41,7622.713,8160.995,8160.995,HARD>MEDIUM,MEDIUM,41,2,2.5293333333333408,0.3193333333333186,2.210000000000022,"PER,SAI,HAD,BOT,LAW",5,-0.700000000000017,2.910000000000039,0.08900000000001285,,,98.70966666666668,96.18033333333334
2,OCO,45,8029.07,8563.141,8563.141,MEDIUM>SOFT,SOFT,16,2,2.372,-0.0023333333333539485,2.374333333333354,"SAI,HAD,LAW,BOT,BEA",5,-1.2166666666666828,3.5910000000000366,0.13733333333333064,,,98.91666666666667,96.54466666666667
